ID	premise1	premise2	premise3	premise4	hypothesis	entailment_judgments	neutral_judgments	contradiction_judgments	gold_label
1045	4536088499.jpg#0/A girl in a blue apron and pink shirt stands at the door while having a conversation with a bicyclist.	4536088499.jpg#1/A woman wearing an apron is standing outside of a store talking to a cyclist.	4536088499.jpg#3/Multiple people are outside of a restaurant.	4536088499.jpg#4/A man stops his bike ride to talk to a lady.	A rider sitting.	3	2	0	neutral
1046	4491246659.jpg#0/A little girl is peeking out from behind a blue wall.	4491246659.jpg#1/A little girl that is hiding behind a blue barrier.	4491246659.jpg#2/A little girl is peeking from behind a wall.	4491246659.jpg#4/A little girl peering over a blue wall.	A child standing.	4	1	0	entailment
1047	2046222127.jpg#0/A man in construction gear is moving a large plank of wood to a new destination.	2046222127.jpg#2/A man wearing yellow hi-viz is grasping a wooden board.	2046222127.jpg#3/A man in a neon yellow vest carrying a wooden crate	2046222127.jpg#4/Man with short hair moves wooden structure.	A man holding up a section of wood.	5	0	0	entailment
1048	2187904131.jpg#1/The skiers are in front of the lodge.	2187904131.jpg#2/Two people ski in the mountains.	2187904131.jpg#3/Skiers moving along a trail.	2187904131.jpg#4/Some skiers at a resort.	Skiers walking through the snow.	1	2	2	neutral
1049	4379561906.jpg#0/A group of people wearing name tags gather round in a conference room watching in front of them.	4379561906.jpg#2/Many people are smiling as they gather in a room.	4379561906.jpg#3/People are gathered together watching something.	4379561906.jpg#4/A group of people are standing inside an office	A group laughing.	3	2	0	neutral
1050	4763195183.jpg#0/A nicely dressed woman is looking at her phone while crouching by some windows with her luggage and purse sitting next to her.	4763195183.jpg#2/A woman dressed in black, with her hair up, squats next to her luggage to send a text message.	4763195183.jpg#3/A woman in a skirt and tights crouches down next to some luggage in order to use her phone.	4763195183.jpg#4/Woman sits next to luggage checking her text messages.	A woman kneeling.	5	0	0	entailment
1051	4931289200.jpg#0/A female on a horse is attempting to move cattle to another area of a pen.	4931289200.jpg#1/A young woman in a pink shirt attempting to rope a calf at the rodeo.	4931289200.jpg#2/A woman is a red tank top is riding horse.	4931289200.jpg#3/The men are getting ready for the rodeo.	A woman chasing a cow.	3	0	2	entailment
1052	2230983294.jpg#0/The lady in red is very happy to see the young lady in white and black.	2230983294.jpg#1/An elderly woman and another younger woman greeting each other.	2230983294.jpg#2/Mother and daughter are meeting for the first time.	2230983294.jpg#4/The two ladies are missing each other.	A woman giving her child.	1	2	2	neutral
1053	2881468095.jpg#0/The skateboarder is balancing himself and his skateboard on the edge of a brick wall.	2881468095.jpg#1/A skateboarder doing tricks on a brick wall next to stairs.	2881468095.jpg#3/A skateboarder is balancing on a brick wall.	2881468095.jpg#4/A guy skateboarding on the side of steps.	A boy performing tricks.	5	0	0	entailment
1054	2147107496.jpg#0/One man with a plaid shirt and another with a red scarf, glasses and beard are holding beers.	2147107496.jpg#1/Two men with glasses of beer in their hand are posing to have their picture taken.	2147107496.jpg#3/Two men posing for a picture while drinking beer.	2147107496.jpg#4/Men are at a party drinking beer together.	Friends drinking some beverages.	5	0	0	entailment
1055	3969772063.jpg#0/A man playing an acoustic guitar on a stone ledge in public with his belongings by his side.	3969772063.jpg#2/A man dressed casually and playing his guitar for tips.	3969772063.jpg#3/A man plays guitar along the side of a street.	3969772063.jpg#4/A man plays his guitar while sitting.	A man with a beard playing an instrument.	2	2	1	neutral
1056	3423802527.jpg#0/Parade of cheerleaders wearing black, pink and white uniforms.	3423802527.jpg#1/Many cheerleaders wearing black, walk down the street.	3423802527.jpg#3/A bunch of girls in cheerleader outfits.	3423802527.jpg#4/Cheerleaders perform.	A large group walking.	2	2	1	entailment
1057	260029153.jpg#1/A young boy in a white and red polo shirt is playing in the grass with what looks like a tiny propeller.	260029153.jpg#2/A child is spinning a hand helicopter in a field of grass.	260029153.jpg#3/Young boy amazed as he looks at the dragonfly in his hand.	260029153.jpg#4/Young boy in a field playing with a toy.	A child sits.	2	3	0	neutral
1058	2765029348.jpg#0/A man is doing a back flip off a ramp on a mountain bike in the wild.	2765029348.jpg#1/A man is doing a back flip whilst attempting a jump on a bicycle.	2765029348.jpg#2/A man performs a back flip on his BMX bicycle.	2765029348.jpg#4/A bikers flips upside down.	A man does a trick.	4	1	0	entailment
1059	2766954299.jpg#0/Two older women, one in darker clothing and one in lighter clothing, gather up grain as they work on the field.	2766954299.jpg#2/Two oriental older women gathering rice from the fields.	2766954299.jpg#3/Two women in an agricultural landscape sorting crop.	2766954299.jpg#4/Two people in a field gathering crops	Woman standing.	3	1	1	neutral
1060	25604966.jpg#0/Four women in similar red outfits are singing and using drums as they perform.	25604966.jpg#1/A group of girls in red gowns are in the middle of a musical performance.	25604966.jpg#2/Four women dressed in orange sing into microphones and play drums.	25604966.jpg#3/A group of women dressed in red dresses are playing hand drums.	Performer beating instruments.	4	0	1	entailment
1061	3549222244.jpg#1/Two Asian men are leading a group of children in a game that involves touching your head.	3549222244.jpg#2/Two men holding their hands on their heads and talking to a group of children.	3549222244.jpg#3/Two male teachers lead a group of young children in exercise.	3549222244.jpg#4/Two men are entertaining a group of children.	Little kids standing.	2	3	0	neutral
1062	3969506142.jpg#0/Men, women and children are enjoying a meal outside on the patio.	3969506142.jpg#2/A family sits down to eat at a table outside.	3969506142.jpg#3/A group of people are sitting around a table.	3969506142.jpg#4/People eating a meal at a shared table.	A man gets some food.	4	0	1	entailment
1063	5738778049.jpg#1/A butcher is slicing meat in a store on the counter.	5738778049.jpg#2/A butcher is hard at work flaying a large fish.	5738778049.jpg#3/Butcher making different cuts of meat.	5738778049.jpg#4/Man cutting fish in a fish market.	Men do tasks.	3	1	1	contradiction
1064	3810304603.jpg#1/A man in a blue shirt is singing and playing guitar on a stage in front of a drummer.	3810304603.jpg#2/A man in a blue and white is performing on stage with a red guitar.	3810304603.jpg#3/A blond guy with a red guitar is singing in a band.	3810304603.jpg#4/Chickenfoot plays a musical set on a stage.	A guy standing.	4	1	0	entailment
1065	2914160252.jpg#0/Acrobatic young child in a gym setting being watched as he lands from an action pose.	2914160252.jpg#2/Young boy drops from rings in gymnastic class.	2914160252.jpg#3/A little boy playing on gymnastics equipment.	2914160252.jpg#4/Young boy doing gymnastics	A child swings from bars.	2	2	1	neutral
1066	1013536888.jpg#1/An elderly woman is eating a burger while the man next to her touching his hat.	1013536888.jpg#2/A man with a balloon hat and people eating outdoors at picnic tables.	1013536888.jpg#3/Two older women sit at a table with two coolers in front of them.	1013536888.jpg#4/A gray-haired person with glasses enjoys a sandwich.	A man stands.	0	3	2	neutral
1067	3018983196.jpg#0/A tour guide explaining to a group of onlookers the process's of the machine they are looking at while a woman in black takes a photo.	3018983196.jpg#2/A group of seven women and a man in a building taking pictures and talking.	3018983196.jpg#3/A woman takes a picture alongside a group.	3018983196.jpg#4/A woman taking a photograph.	Women stand.	4	1	0	entailment
1068	8034136985.jpg#0/A golfer is holding his backstroke pose during a tournament while being watched by hundreds of onlookers.	8034136985.jpg#1/Man in orange shirt with blue pants, looking up at his shot, after just swinging his golf club.	8034136985.jpg#2/A golfer watches his hit after he swings while several onlookers watch in the background.	8034136985.jpg#4/An orange shirted, male golfer, has just completed a swing in front of a large crowd.	An audience watches.	5	0	0	entailment
1069	4803926618.jpg#0/A dark-haired drummer is playing his set with enthusiasm.	4803926618.jpg#1/A man in a gray shirt with crazy hair playing the drums.	4803926618.jpg#2/A guy in a black shirt is rocking on a set of drums.	4803926618.jpg#3/Man in gray shirt rocking out on the drums.	A musician playing the instruments.	5	0	0	entailment
1070	3983874347.jpg#1/Three male safety workers in neon yellow vests are taking their break.	3983874347.jpg#2/Three workers in bright green vests, taking a break.	3983874347.jpg#3/Three construction workers sit down and take a break.	3983874347.jpg#4/Construction workers have a hard job.	Men sit on a bench.	2	2	1	neutral
1071	4887520831.jpg#0/A girl dressed in a black shirt sits on a curb next to a man in a white shirt while others gather around a green statue in the square.	4887520831.jpg#1/Man and women sitting on the steps in the evening with many pillars around them.	4887520831.jpg#2/A couple are sitting and looking at a green colored statue.	4887520831.jpg#4/This is nice place to relax and chat.	A crowd gathered.	4	0	1	entailment
1072	2115721452.jpg#0/White fluffy dog hangs out of the window of a turquoise building.	2115721452.jpg#1/A shaggy dog hangs its paws out of a light turquoise window.	2115721452.jpg#2/A furry white dog, hanging out of a window.	2115721452.jpg#3/A fluffy white dog hanging out of a window.	A dog leaning through a window.	5	0	0	entailment
1073	3584196366.jpg#1/A flock of seagulls is taking off from the beach.	3584196366.jpg#2/A flock of birds hovered over the sandy beach.	3584196366.jpg#3/A flock of birds flying over a shoreline.	3584196366.jpg#4/A flock of seagulls flying at the beach.	Animal stands.	2	0	3	contradiction
1074	263850317.jpg#0/Girl wearing a mini dress and long-sleeve white jacket with a pink bag walking through a crowded area.	263850317.jpg#2/A woman wearing black boots and a skirt walks down the sidewalk.	263850317.jpg#3/A young woman in a black skirt and boots walks by stores.	263850317.jpg#4/A woman with a pink purse walks down a crowded sidewalk.	A girl carrying a bag walking down a street.	4	0	1	entailment
1075	3826428341.jpg#1/A man in a blue hat is laying propped up on the ground.	3826428341.jpg#2/A woman is lying down on the pavement of her campsite.	3826428341.jpg#3/A female is lying down on the grass resting.	3826428341.jpg#4/A woman lying on a rock at a campground.	A climber resting.	4	0	1	entailment
1076	3295452057.jpg#0/Two dogs play in a large fenced-in area, while two men watch from a distance.	3295452057.jpg#2/A brown dog is jumping up at a black and white dog.	3295452057.jpg#3/Two dogs are playing around in the dirt.	3295452057.jpg#4/A chow jumps on a husky.	A dog putting its head on a larger dog.	0	5	0	neutral
1077	4088621077.jpg#0/A small boy sitting with a group of troops wearing a combat helmet.	4088621077.jpg#1/Two men from the army sitting with a kid in a blue shirt.	4088621077.jpg#3/Two men in the army with a small boy from the area.	4088621077.jpg#4/Soldiers sit on either side of a young boy.	Men and a boy posing for a picture.	2	2	1	neutral
1078	5222250994.jpg#1/A young skier enjoys the slopes with the chair-lift in the background.	5222250994.jpg#2/A lone skier dressed in black skies down the snowy slope.	5222250994.jpg#3/An individual skating on a beautiful snowy clear day.	5222250994.jpg#4/A man skiing down a slope.	Skier making his way down a slope.	5	0	0	entailment
1079	3336808362.jpg#1/A man sits while in the distance other men are shirtless wearing kilts.	3336808362.jpg#2/A man and another person in shadow watch a street parade at night.	3336808362.jpg#3/A man watching something that other people are doing.	3336808362.jpg#4/Two people watching the crowd in front of them.	A man standing.	1	3	1	neutral
1080	3125518138.jpg#0/A woman has just taken a stroke on the putting green at a golf course, and the ball is on its way to the hole.	3125518138.jpg#1/A woman in a green shirt and khaki pants is attempting to hit the golf ball into the hole.	3125518138.jpg#3/A woman in a green shirt and white pants golfs on the green.	3125518138.jpg#4/A woman spending the day playing golf.	A golfer gets the ball.	3	2	0	neutral
1081	7617087498.jpg#0/A young boy in a white cap holds a toy plastic golf club, as a man in a dark blue cap walks toward the toy plastic hole marker during a children's game of golf.	7617087498.jpg#1/A young man in a white hat is playing golf with an older man wearing a blue, long-sleeved shirt and khakis.	7617087498.jpg#2/A man and young child playing mini golf with tennis balls and enlarged golf putters.	7617087498.jpg#4/An older man and a young boy are golfing.	A kid practicing his skills.	5	0	0	entailment
1082	349198711.jpg#1/Three women and two men in swimsuits, sunbathing on lawn chairs covered by towels.	349198711.jpg#2/Five people in bathing suit are sitting in lounge chairs on beach towels.	349198711.jpg#3/A group of young men and women laying on sunbathing chairs.	349198711.jpg#4/There is a row of teenager on yellow chairs getting tanned.	Man raising his hand.	0	2	3	contradiction
1083	3125992573.jpg#0/Toddlers having a sleepover, sitting on the couch, giggling at TV.	3125992573.jpg#1/A dark-haired boy smiles while laying next to two other kids.	3125992573.jpg#3/Three children spend time laughing on the couch.	3125992573.jpg#4/A group of kids laugh while seated on a couch.	Little boys and a little girl sit.	5	0	0	entailment
1084	417024751.jpg#0/A man rests a silver-colored metal disk on a rock surface as he works on the back side of it.	417024751.jpg#1/A man in a mountainous region is working with a circular piece of aluminum.	417024751.jpg#2/A dark-skinned male working with a metal disc on top of concrete.	417024751.jpg#3/A man in a fleece jacket works with a piece of tin.	An Asian man making something.	4	1	0	entailment
1085	2954525375.jpg#0/A man wearing a hat is dancing around an area filled with light and graffiti.	2954525375.jpg#1/A man in a white t-shirt and cap is skating along a graffiti covered wall.	2954525375.jpg#3/A male walks on the graffiti wall.	2954525375.jpg#4/A man dances on a colorful wall.	A boy walking.	2	1	2	contradiction
1086	2228329399.jpg#1/A steam locomotive is refilling its water tanks from a water tower next to the railroad tracks.	2228329399.jpg#2/A man working on a steam engine with a water tower in the background.	2228329399.jpg#3/A man is working on a steam engine in front of a water tower.	2228329399.jpg#4/A train engine with a water tower in the background.	A man bending over.	2	2	1	neutral
1087	7916195052.jpg#0/A youth on a skateboard is doing flips and tricks over a metal bar.	7916195052.jpg#1/A shirtless man is doing a skateboard trick over a bike rail.	7916195052.jpg#2/A skateboarder with dreadlocks does a trick on a bike rack.	7916195052.jpg#3/Long-haired skateboarder jumping over bike rack in a city.	A skater performs a stunt.	4	0	1	entailment
1088	4484549063.jpg#1/Man sitting outside on sidewalk playing music while taking donations.	4484549063.jpg#2/A middle-aged man is sitting down and playing the accordion.	4484549063.jpg#3/Pan handler playing the accordion on the sidewalk.	4484549063.jpg#4/A street musician is playing the accordion.	A man plays an instrument seated.	5	0	0	entailment
1089	2833502675.jpg#0/A man with brown hair and a green shirt is playing a trumpet.	2833502675.jpg#1/A brown-haired man in a green shirt plays a trumpet outdoors.	2833502675.jpg#2/A man in a green shirt playing the trombone.	2833502675.jpg#3/A man in a green shirt is playing a trumpet.	A man playing music with an instrument.	5	0	0	entailment
1090	4623271967.jpg#1/A photographer in blue shirt smoking in the middle of a street.	4623271967.jpg#2/Bald guy smoking a cigarette and holding a camera.	4623271967.jpg#3/Man taking a smoke break from photography.	4623271967.jpg#4/A bald man with a camera smoking.	A man reading.	0	0	5	contradiction
1091	1309330801.jpg#0/One girl is doing a handstand on an outdoor trampoline while another girl stands on the trampoline with one hand in the air.	1309330801.jpg#1/One girl is doing a handstand on a trampoline while another girl watches	1309330801.jpg#3/Two girls are performing tricks on a trampoline.	1309330801.jpg#4/The children are playing on the trampoline.	Two girls jumping on a trampoline in a backyard.	4	0	1	entailment
